"","x"
"4312",4.57261268231107
"8318",4.51459371540294
"10874",4.41821798112707
"55143",4.14407518193211
"55388",3.87625800905113
"991",3.67785700608222
"6280",3.50196257182422
"2305",3.29181180475379
"9493",3.28622327553642
"1062",3.21976069787127
"3868",3.21343469687452
"4605",3.20837276367322
"9833",3.19773690427129
"9133",3.12523889932218
"6279",3.08683552846105
"10403",3.06832474317075
"8685",2.98049240045984
"597",2.96722291461667
"7153",2.95109339365107
"23397",2.94906631520437
"6278",2.93319655454591
"79733",2.90489607718438
"259266",2.87700194081485
"1381",2.82552513642048
"3627",2.82428129851976
"27074",2.7922676355156
"6241",2.78798248037097
"55165",2.78423832455259
"9787",2.76613060129854
"7368",2.69747346495945
"11065",2.67972647035974
"55355",2.6762895491481
"9582",2.67431001864876
"220134",2.66888169680278
"55872",2.63284766251006
"51203",2.62958382800576
"3669",2.62682683929664
"83461",2.59570027852039
"22974",2.5931269224252
"10460",2.57645511923366
"10563",2.55386811529543
"4751",2.54667075821139
"6373",2.54315315665556
"8140",2.52745370307114
"79019",2.52436734092944
"820",2.51458743183147
"10635",2.493021394596
"1844",2.49256708560016
"4283",2.49100137654174
"27299",2.46952002313472
"55839",2.4689309844272
"27338",2.46013932538693
"890",2.44693353068464
"9415",2.43770328421161
"983",2.42216462691667
"54821",2.41874823716783
"10232",2.41872027138629
"4085",2.41518776914574
"6362",2.40778308080024
"9837",2.37633010514165
"5080",2.37600161440676
"7850",2.37336571483027
"81930",2.37282076305454
"5918",2.36981856605078
"81620",2.3625624169791
"332",2.35506049138685
"55765",2.35443895996355
"79605",2.34711414400842
"3832",2.34008550822467
"6286",2.33401302222811
"5163",2.33159347644854
"2146",2.32813572232542
"3002",2.31757432136409
"50852",2.30958990186447
"7272",2.28817170180098
"2568",2.28536454045819
"64151",2.28409005788997
"51806",2.28257378157491
"366",2.28164291672685
"2842",2.27943678261934
"9212",2.27589510769316
"140578",2.2676095771495
"51659",2.25632822477146
"8715",2.25209188180157
"4902",2.25075941769641
"8208",2.23857474905902
"1111",2.23657190148115
"9319",2.23212818555161
"9055",2.22311743435345
"3833",2.1969998556433
"146909",2.17042139894045
"23475",2.16062911605466
"4321",2.15974129228883
"11182",2.14940275008204
"10112",2.11585870189465
"3902",2.09252706807375
"3620",2.08932405627602
"3887",2.07957649350856
"51514",2.07021480021647
"6790",2.06836296999971
"4521",2.05346907479721
"891",2.04681066073153
"57110",2.04674826295705
"8544",2.03535217092339
"1448",2.03446925194288
"24137",2.02292361041168
"6355",2.01940276943022
"10578",2.0110075436176
"4174",2.01082077632796
"9232",2.00517449045459
"643314",-2.00241258598728
"1307",-2.00645782031703
"776",-2.01357045446705
"4129",-2.02977498744955
"9370",-2.03395588795855
"196740",-2.03661057206766
"25924",-2.044894753393
"8857",-2.05355704392437
"1602",-2.06526478087374
"51161",-2.06686273743153
"3708",-2.07418786317952
"23090",-2.07734767845865
"10742",-2.07788978964819
"51760",-2.08731039413565
"9122",-2.09879659979717
"10699",-2.09987711199709
"8416",-2.1002125631483
"60598",-2.10072772657894
"79148",-2.10657214781518
"64799",-2.11733408186209
"4629",-2.13644979994375
"1556",-2.14258359503077
"55096",-2.14320564772147
"26289",-2.15371014744401
"6038",-2.22682892237631
"771",-2.239239148576
"51313",-2.24180613179536
"23704",-2.24297639491913
"3117",-2.24329508181504
"80129",-2.25305751229642
"23158",-2.25482279360488
"125",-2.27109140657784
"4958",-2.29014148780126
"4857",-2.29543208729759
"1311",-2.29726586247914
"5105",-2.30572354594917
"5174",-2.31347907812077
"730",-2.32940473861363
"2018",-2.3392209037404
"81563",-2.39773211157754
"2532",-2.40239135424092
"1308",-2.40834171189964
"4250",-2.42488033771274
"23362",-2.42628457660404
"2167",-2.43015982752786
"51705",-2.43387052459164
"2593",-2.43909904762453
"652",-2.44107918199359
"80736",-2.47287093151383
"4036",-2.47345432403368
"57502",-2.47635134847216
"5507",-2.47649586720583
"56521",-2.50042503691732
"22885",-2.51688049578264
"4137",-2.51725955867831
"8483",-2.51962784273236
"8839",-2.5355573462945
"2066",-2.54556628193772
"4693",-2.5781081689013
"4148",-2.58014505774165
"79083",-2.60124547602414
"1101",-2.61500382181653
"3158",-2.62208107751133
"3169",-2.63598395197002
"5346",-2.63853364413182
"1408",-2.64099189173814
"9547",-2.65150359301359
"2922",-2.69712600339905
"11283",-2.76105682285319
"64499",-2.77655258133382
"54829",-2.80901708873447
"1524",-2.81450305265629
"10234",-2.83705642541258
"1580",-2.86719472918575
"10647",-2.88102690216403
"25893",-2.92791679280843
"24141",-2.92805146314098
"10351",-2.92853390084061
"2330",-2.93702710265174
"5304",-2.94074953844828
"79846",-2.95067628394238
"8614",-2.95999386710214
"2625",-2.98026524981492
"7021",-3.03107849820467
"7802",-3.03791505877382
"79689",-3.06260869940897
"11122",-3.12227116006737
"55351",-3.24086927492729
"9",-3.25012047331658
"4239",-3.26109864845884
"5241",-3.29772958449492
"10551",-3.33076048210018
"10974",-3.41679841347573
"79838",-3.45722136409267
"79901",-3.60346667270745
"57758",-3.94546662801105
"4969",-4.3026548818069
