,PROBEID,SYMBOL,ENTREZID,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
1,17210887,Atp6v1h,108664,"ATPase, H+ transporting, lysosomal V1 subunit H",-0.420291808,7.897330335,-2.114542647,0.057514902,0.255598101,-4.496150967
2,17210984,Pcmtd1,319263,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,0.048521924,8.663517156,0.291759675,0.775767608,0.897823708,-6.446499828
3,17211000,Rrs1,59014,ribosome biogenesis regulator 1,-0.14250434,5.529351973,-0.428917382,0.676062342,0.84648992,-6.394539856
4,17211131,Prex2,109294,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.11404709,8.788301451,0.703856506,0.495799155,0.734190274,-6.233773263
5,17211174,A830018L16Rik,320492,RIKEN cDNA A830018L16 gene,-1.45401576,5.095808171,-4.369235281,0.001055643,0.038588895,-0.640569061
6,17211258,Rdh10,98711,retinol dehydrogenase 10 (all-trans),0.071792757,6.238309176,0.387485219,0.705610656,0.864431448,-6.412268839
7,17211286,Ly96,17087,lymphocyte antigen 96,-0.65257265,8.439034414,-1.633421726,0.129964235,0.383999797,-5.220674025
8,17211396,Tmem14a,75712,transmembrane protein 14A,-0.384409905,3.49858401,-1.340488774,0.206466688,0.487694165,-5.606015824
9,17211405,Gsta3,14859,"glutathione S-transferase, alpha 3",-0.377543294,4.867119006,-1.01725496,0.330360454,0.605403362,-5.965374257
10,17211700,Imp4,27993,"IMP4, U3 small nucleolar ribonucleoprotein",-0.113048293,8.600903314,-0.845694234,0.415307228,0.676137731,-6.122919306
11,17211713,Ptpn18,19253,"protein tyrosine phosphatase, non-receptor type 18",0.108939626,4.54839031,0.519859227,0.613213665,0.809115042,-6.349557086
12,17211774,Plekhb2,226971,"pleckstrin homology domain containing, family B (evectins) member 2",-0.381592243,7.287089161,-2.220230018,0.047776551,0.234194948,-4.325690642
13,17211790,Hs6st1,50785,heparan sulfate 6-O-sulfotransferase 1,0.743175683,7.719113748,3.593014986,0.004061615,0.071085209,-1.963995949
14,17211795,Arid5a,214855,AT rich interactive domain 5A (MRF1-like),1.053357455,4.737806887,2.190627725,0.050333444,0.239720763,-4.373761748
15,17211822,Cnnm4,94220,cyclin M4,0.024686512,4.977638942,0.108072421,0.915837176,0.9680358,-6.485406946
16,17211832,Cnnm3,94218,cyclin M3,-0.140782759,5.676862307,-0.927368448,0.373157806,0.641764562,-6.051010009
17,17211850,Cox5b,12859,cytochrome c oxidase subunit 5B,-0.822288969,4.916066635,-3.400395495,0.005726625,0.083327951,-2.2996414
18,17211857,4933424G06Rik,71166,RIKEN cDNA 4933424G06 gene,0.020250849,2.09012023,0.060910457,0.95249664,0.979790212,-6.489644396
19,17211867,Zap70,22637,zeta-chain (TCR) associated protein kinase,-0.220410334,2.750157095,-0.943447201,0.365226221,0.636306654,-6.036183394
20,17211990,Lipt1,623661,lipoyltransferase 1,0.002585018,5.844825747,0.013303574,0.989618046,0.996034255,-6.491523938
21,17212018,Eif5b,226982,eukaryotic translation initiation factor 5B,-0.070650915,6.166888099,-0.473750912,0.644717036,0.830485309,-6.37339847
22,17212087,Npas2,18143,neuronal PAS domain protein 2,-0.2528673,4.33277556,-1.163084017,0.268816119,0.555707804,-5.812747553
23,17212174,Il1r2,16178,"interleukin 1 receptor, type II",0.618873089,3.567029578,1.7991895,0.098777328,0.334748491,-4.982109911
24,17212185,Il1r1,16177,"interleukin 1 receptor, type I",0.262075197,6.861506183,0.752612138,0.467103136,0.713629791,-6.197727018
25,17212199,Il1rl2,107527,interleukin 1 receptor-like 2,0.060054119,5.21823996,0.260579918,0.799113505,0.912784209,-6.455599983
26,17212286,Slc9a2,226999,"solute carrier family 9 (sodium/hydrogen exchanger), member 2",0.610870577,1.947639938,2.033769087,0.066191161,0.273381758,-4.62409454
27,17212346,AI597479,98404,expressed sequence AI597479,-0.805292821,5.56049861,-3.957989549,0.002137658,0.052955609,-1.33446849
28,17212406,Bivm,246229,"basic, immunoglobulin-like variable motif containing",0.212248136,5.52673843,0.960403124,0.356992445,0.628168391,-6.020313538
29,17212442,Gulp1,70676,"GULP, engulfment adaptor PTB domain containing 1",0.837675999,7.005480274,3.979531068,0.002059076,0.052011711,-1.297667568
30,17212792,Hibch,227095,3-hydroxyisobutyryl-Coenzyme A hydrolase,-0.073571269,8.83186523,-0.339086288,0.740775114,0.882687552,-6.430757138
31,17212813,Mstn,17700,myostatin,0.79758374,2.158791048,0.872177092,0.401300237,0.667905308,-6.100233146
32,17212821,Ormdl1,227102,ORM1-like 1 (S. cerevisiae),-0.418298464,5.854876934,-2.524477547,0.027786845,0.179178333,-3.819411824
33,17212874,Coq10b,67876,coenzyme Q10B,-0.213706571,8.915816518,-1.138385986,0.278566154,0.56270395,-5.839741769
34,17212882,Hspe1,15528,heat shock protein 1 (chaperonin 10),-0.323856339,7.612552756,-2.091563577,0.059867611,0.260833088,-4.532766214
35,17212931,1700066M21Rik,73467,RIKEN cDNA 1700066M21 gene,-0.194917084,5.594911138,-0.877122127,0.39872087,0.665646888,-6.095929491
36,17212982,Aox1,11761,aldehyde oxidase 1,-0.483302024,7.211623907,-2.240704548,0.046081046,0.230790201,-4.292301613
37,17213139,Bzw1,66882,basic leucine zipper and W2 domains 1,-0.137858386,9.844579655,-0.832893052,0.42219443,0.680522838,-6.133665146
38,17213213,Casp8,12370,caspase 8,0.637718055,8.584991802,3.977918907,0.002064852,0.052011711,-1.300420167
39,17213226,Stradb,227154,STE20-related kinase adaptor beta,0.106311509,6.727972263,0.609701134,0.554146037,0.771147978,-6.297088854
40,17213295,Nop58,55989,NOP58 ribonucleoprotein,0.029221674,6.446088222,0.087928185,0.931475786,0.971960369,-6.487505881
41,17213349,Carf,241066,calcium response factor,0.05671907,5.370662724,0.328486862,0.748562576,0.885658702,-6.434484372
42,17213446,Abi2,329165,abl-interactor 2,-0.178601131,6.280035031,-1.131813839,0.281206238,0.564817809,-5.846848063
43,17213473,2310016D23Rik,76443,RIKEN cDNA 2310016D23 gene,0.323526222,1.864246578,0.890326017,0.39188938,0.660982161,-6.084334711
44,17213598,Zdbf2,73884,"zinc finger, DBF-type containing 2",0.631338788,3.066420271,2.902162981,0.014056502,0.129191206,-3.169798143
45,17213645,Fastkd2,75619,FAST kinase domains 2,-0.414423311,4.763213199,-1.705469438,0.115466183,0.362988864,-5.118618313
46,17213687,Ccnyl1,227210,cyclin Y-like 1,-0.015001297,6.657997743,-0.081880863,0.936176713,0.974371423,-6.488051907
47,17213770,Map2,17756,microtubule-associated protein 2,0.402657562,3.815833463,2.477251705,0.030243551,0.186149988,-3.89925766
48,17213990,Atic,108147,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,-0.207376827,7.748673602,-1.256214535,0.234439069,0.520156261,-5.706959086
49,17214053,Xrcc5,22596,X-ray repair complementing defective repair in Chinese hamster cells 5,0.040011701,4.966317143,0.232079438,0.820634191,0.925103794,-6.463029844
50,17214100,Rpl37a,19981,ribosomal protein L37a,-0.211480351,2.155548266,-1.069056631,0.307393677,0.586700124,-5.913047364
51,17214126,Rufy4,435626,RUN and FYVE domain containing 4,0.510354621,4.318457424,2.026029561,0.067083993,0.276360035,-4.63623892
52,17214142,Cxcr2,12765,chemokine (C-X-C motif) receptor 2,0.236769145,2.769937147,0.450059868,0.661196156,0.838736978,-6.38482225
53,17214162,Gpbar1,227289,G protein-coupled bile acid receptor 1,0.509575589,2.845530412,2.157197751,0.053377324,0.246151585,-4.427748963
54,17214166,Pnkd,56695,paroxysmal nonkinesiogenic dyskinesia,0.121399971,7.779331653,0.716473299,0.488271918,0.731466577,-6.224655854
55,17214197,Slc11a1,18173,"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",0.483452867,6.036398576,1.541607448,0.150748565,0.414530738,-5.346799015
56,17214341,Ttll4,67534,"tubulin tyrosine ligase-like family, member 4",0.160787856,6.008500916,0.67544754,0.513003662,0.745023487,-6.253759342
57,17214449,Stk16,20872,serine/threonine kinase 16,0.00612275,8.466086692,0.030857599,0.975922475,0.990796823,-6.491111491
58,17214462,Dnajb2,56812,DnaJ heat shock protein family (Hsp40) member B2,-0.574584833,6.08945985,-2.852718786,0.015371291,0.135049919,-3.255678427
59,17214476,Des,13346,desmin,0.164686606,9.619900277,0.470707178,0.646823373,0.832184622,-6.374897687
60,17214487,Speg,11790,SPEG complex locus,0.32894354,4.521530906,1.085813537,0.30022708,0.581914434,-5.895668256
61,17214672,Mogat1,68393,monoacylglycerol O-acyltransferase 1,-0.883671041,3.458709856,-3.999970621,0.001987282,0.051798942,-1.262791442
62,17214711,Kcne4,57814,"potassium voltage-gated channel, Isk-related subfamily, gene 4",0.860608702,4.586023026,2.980076793,0.012209229,0.121182665,-3.034147031
63,17214759,Rhbdd1,76867,rhomboid domain containing 1,0.067955471,7.241293837,0.396438833,0.699180115,0.861247644,-6.408585561
64,17214841,Agfg1,15463,ArfGAP with FG repeats 1,0.177263237,9.424345406,1.158882351,0.270455775,0.557053048,-5.817371883
65,17214857,Ccl20,20297,chemokine (C-C motif) ligand 20,-0.106156157,2.173672427,-0.365592287,0.721434514,0.873525734,-6.420929733
66,17214924,Sp140,434484,Sp140 nuclear body protein,0.420313954,3.275569618,0.884038687,0.395132226,0.663636929,-6.089874566
67,17215222,Eif4e2,26987,eukaryotic translation initiation factor 4E member 2,0.007818196,8.050857725,0.051856608,0.959550144,0.982997798,-6.490187474
68,17215309,Inpp5d,16331,inositol polyphosphate-5-phosphatase D,-0.16326365,5.665101305,-0.918011012,0.377829276,0.64643838,-6.059538425
69,17215395,Dgkd,227333,"diacylglycerol kinase, delta",0.141666452,8.512408611,0.654923569,0.525650465,0.752992721,-6.267726407
70,17215605,Ackr3,12778,atypical chemokine receptor 3,-0.050724341,7.857632549,-0.272332231,0.790288521,0.908426242,-6.452288952
71,17215612,Cops8,108679,COP9 signalosome subunit 8,-0.210841683,8.005834177,-1.484792882,0.165006003,0.435953513,-5.422495134
72,17215647,Prlh,623503,prolactin releasing hormone,0.449410549,2.54260168,1.585544477,0.140465991,0.400615421,-5.287011779
73,17215650,Lrrfip1,16978,leucine rich repeat (in FLII) interacting protein 1,-0.016958861,5.176709853,-0.079647602,0.937913404,0.974662647,-6.488243731
74,17215697,Ramp1,51801,receptor (calcitonin) activity modifying protein 1,-0.292809106,2.603248263,-0.871412624,0.401700004,0.668199646,-6.100896572
75,17215705,Ube2f,67921,ubiquitin-conjugating enzyme E2F (putative),-0.405249487,5.393899626,-2.203761596,0.049183326,0.237211619,-4.35246381
76,17215750,Klhl30,70788,kelch-like 30,0.228719247,2.659190664,0.615545844,0.550415185,0.769946896,-6.293404042
77,17215773,Traf3ip1,74019,TRAF3 interacting protein 1,-0.353739145,4.278304251,-1.28696337,0.223896301,0.510385082,-5.670686449
78,17215799,Twist2,13345,twist basic helix-loop-helix transcription factor 2,0.585349218,2.986097724,1.065355346,0.308993884,0.588001286,-5.91685654
79,17215813,Olfr1411,258483,olfactory receptor 1411,-0.166215107,2.996476145,-0.45530092,0.657534023,0.836892635,-6.382343606
80,17215820,Gpc1,14733,glypican 1,0.097863007,5.239016335,0.311933839,0.76078247,0.891709999,-6.440072844
81,17215834,Dusp28,67446,dual specificity phosphatase 28,-0.543045416,5.647582739,-1.89290083,0.084306956,0.311987778,-4.841709596
82,17215839,Rnpepl1,108657,arginyl aminopeptidase (aminopeptidase B)-like 1,-0.223318684,7.938788556,-1.569348119,0.14418302,0.405050237,-5.309174688
83,17216133,Gal3st2c,619597,galactose-3-O-sulfotransferase 2C,-0.353973549,2.246834789,-1.7020944,0.116111767,0.363425222,-5.123456758
84,17216353,Zcchc2,227449,"zinc finger, CCHC domain containing 2",0.05752369,7.331264211,0.219486459,0.830193492,0.930630139,-6.466041587
85,17216373,Phlpp1,98432,PH domain and leucine rich repeat protein phosphatase 1,-0.256718064,6.966754596,-1.216152296,0.248770487,0.533756818,-5.753228567
86,17216563,Nifk,67949,nucleolar protein interacting with the FHA domain of MKI67,-0.039065393,7.390239208,-0.12295972,0.904303077,0.964555166,-6.483579125
87,17216638,Tmem185b,226351,transmembrane protein 185B,-0.351887326,6.096819789,-1.800068966,0.098631615,0.334623447,-4.980809856
88,17216642,Sctr,319229,secretin receptor,-0.509323725,7.135000194,-1.64068025,0.128433955,0.380980486,-5.210511584
89,17216836,R3hdm1,226412,R3H domain containing 1,0.183929722,8.600538437,0.858167467,0.408669481,0.672146375,-6.112310482
90,17216870,Ubxn4,67812,UBX domain protein 4,-0.485183782,8.28793603,-3.422617326,0.005503327,0.082070767,-2.260842984
91,17216937,Yod1,226418,YOD1 deubiquitinase,-0.120505622,5.598112676,-0.610302429,0.553761563,0.770911237,-6.296711282
92,17217116,Rab29,226422,"RAB29, member RAS oncogene family",0.034353248,5.899387475,0.128620584,0.899923131,0.963055903,-6.48282245
93,17217182,Nuak2,74137,"NUAK family, SNF1-like kinase, 2",-0.16795675,3.606780196,-0.549834932,0.593155061,0.798375526,-6.332928082
94,17217216,Rbbp5,213464,"retinoblastoma binding protein 5, histone lysine methyltransferase complex subunit",-0.244304309,7.211536527,-1.197683202,0.255608201,0.542048519,-5.774174636
95,17217247,Pik3c2b,240752,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta,-0.392814728,4.83710215,-2.582160992,0.025049866,0.17228974,-3.721374839
96,17217283,Ppp1r15b,108954,"protein phosphatase 1, regulatory subunit 15B",-0.512584584,9.728484661,-2.832464694,0.015944681,0.135972063,-3.29080402
