"ENTREZID","logFC"
320492,-1.45401576
50785,0.743175683
12859,-0.822288969
98404,-0.805292821
70676,0.837675999
12370,0.637718055
73884,0.631338788
56812,-0.574584833
68393,-0.883671041
57814,0.860608702
67812,-0.485183782
108954,-0.512584584
117198,0.587127309
269132,-1.246721269
226744,-1.306139034
26381,0.964371794
100039596,1.022592446
68002,-0.910755701
108812,1.038913787
13869,0.764959273
381269,-0.762591992
21961,0.371252881
13838,-0.77208204
269211,-0.995267665
105243964,-0.715044128
70750,-0.633826742
66343,-0.639530101
381290,-0.45493689
11539,0.863569281
329252,-0.962880588
96875,1.998214902
30935,-0.717927826
18514,0.624405952
13349,0.954936928
226691,0.658073301
67948,-0.859139603
15284,-1.026907645
329324,-1.30417485
14373,-0.783226865
213783,0.763220933
68632,-0.96182143
268281,-0.404481857
66757,-0.577099068
667281,0.905243497
73910,-0.574460325
100628609,0.717692657
66403,-0.541580461
14609,-0.44267091
71767,-0.733648081
71361,-0.618008975
21337,-0.852521343
71721,-0.467430924
22213,-0.468842101
72273,1.178899754
69754,-0.439021148
52679,0.494373357
71769,-0.531206171
64009,-1.383855006
56016,-1.628699922
237339,-0.960232232
213332,-0.765142465
17155,0.628369544
20397,-0.726548115
73287,1.070940313
108950,0.733375081
70427,-0.723297019
66548,0.980123785
14672,-0.434058544
12905,-0.734899508
71207,0.529863766
17110,-1.484813467
192678,-0.636530917
22271,0.693679165
100503630,-1.185067833
103784,-0.756856707
380694,1.143742047
16568,-0.774782845
215335,-0.584021855
171212,-1.230221424
216767,-0.570886734
71520,-0.803283501
22368,0.645395348
69221,0.899177871
67510,-0.844084835
320207,0.946727222
20877,-1.29965807
23801,1.991108862
80515,-1.120197671
109212,-0.83414331
67493,-0.632147954
215113,-0.827561459
216974,-0.37896227
20306,1.447414815
217057,-0.547289286
68729,-0.445532106
110809,-0.611758842
100415785,0.631345452
21428,-0.615600991
53321,-0.820233009
11754,0.570934606
217207,-0.571059213
57778,-0.448171191
16416,0.702966613
102631682,0.623347046
20682,0.627715298
70382,-0.894962044
20698,1.114791974
102638005,1.070057402
210029,-0.52969772
74309,0.653163364
78926,-0.6670697
66249,-0.489199019
100316753,1.396370795
268390,-1.647868547
216613,-1.325505467
24052,-0.418251112
77371,0.399475458
257871,1.107112781
56517,0.69284639
72729,-0.607434571
67826,-0.867155724
19416,-1.255856837
67020,-0.825754067
12514,0.951071703
20926,-0.513564735
56077,-0.866769186
16400,1.406436486
268481,-1.217988964
217198,-0.836433329
13207,-0.573783207
100036768,-1.065891178
71776,0.627223015
12418,-0.788710479
209011,-0.834611351
23967,0.920657876
216233,-1.155250577
50496,-0.941733596
668525,-0.664548239
69675,-0.861063558
26443,-0.722143146
104771,-0.691258558
238276,-0.586220603
26897,1.633795802
217700,-0.732124528
217737,-0.746460857
22095,1.423242856
68149,-1.019541737
66787,-0.97239218
723946,1.262548823
22031,-0.719095385
100316932,0.676304729
68520,0.636261539
