"ENTREZID","logFC"
108664,-0.420291808
319263,0.048521924
59014,-0.14250434
109294,0.11404709
320492,-1.45401576
98711,0.071792757
17087,-0.65257265
75712,-0.384409905
14859,-0.377543294
27993,-0.113048293
19253,0.108939626
226971,-0.381592243
50785,0.743175683
214855,1.053357455
94220,0.024686512
94218,-0.140782759
12859,-0.822288969
71166,0.020250849
22637,-0.220410334
623661,0.002585018
226982,-0.070650915
18143,-0.2528673
16178,0.618873089
16177,0.262075197
107527,0.060054119
226999,0.610870577
98404,-0.805292821
246229,0.212248136
70676,0.837675999
227095,-0.073571269
17700,0.79758374
227102,-0.418298464
67876,-0.213706571
15528,-0.323856339
73467,-0.194917084
11761,-0.483302024
66882,-0.137858386
12370,0.637718055
227154,0.106311509
55989,0.029221674
241066,0.05671907
329165,-0.178601131
76443,0.323526222
73884,0.631338788
75619,-0.414423311
227210,-0.015001297
17756,0.402657562
108147,-0.207376827
22596,0.040011701
19981,-0.211480351
435626,0.510354621
12765,0.236769145
227289,0.509575589
56695,0.121399971
18173,0.483452867
67534,0.160787856
20872,0.00612275
56812,-0.574584833
13346,0.164686606
11790,0.32894354
68393,-0.883671041
57814,0.860608702
76867,0.067955471
15463,0.177263237
20297,-0.106156157
434484,0.420313954
26987,0.007818196
16331,-0.16326365
227333,0.141666452
12778,-0.050724341
108679,-0.210841683
623503,0.449410549
16978,-0.016958861
51801,-0.292809106
67921,-0.405249487
70788,0.228719247
74019,-0.353739145
13345,0.585349218
258483,-0.166215107
14733,0.097863007
67446,-0.543045416
108657,-0.223318684
619597,-0.353973549
227449,0.05752369
98432,-0.256718064
67949,-0.039065393
226351,-0.351887326
319229,-0.509323725
226412,0.183929722
67812,-0.485183782
226418,-0.120505622
226422,0.034353248
74137,-0.16795675
213464,-0.244304309
240752,-0.392814728
108954,-0.512584584
240753,-0.170901254
53311,0.188949485
67196,-0.008060114
320139,-0.244677504
27280,-0.188119121
21952,0.582178776
66241,-0.169471733
12292,1.094938263
67997,0.189829584
26878,0.821339937
56207,0.21211517
117198,0.587127309
269132,-1.246721269
72713,-0.092408595
11899,-0.07038264
67647,0.105475314
381305,-0.083735413
105243993,0.185182762
20343,0.351712803
171567,-0.352962173
240888,-0.187029259
12503,-0.054430408
226610,0.577999811
246256,0.153841821
17528,-0.267765642
11807,0.522503078
240913,0.992408008
12506,-0.372496329
98193,0.117736489
98365,0.262527788
21346,-0.129166623
258880,0.126964411
258645,0.354166522
