,PROBEID,SYMBOL,ENTREZID,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
1,17210887,Atp6v1h,108664,"ATPase, H+ transporting, lysosomal V1 subunit H",0.042729262,7.897330335,0.214976465,0.833624074,0.951872489,-6.502644467
2,17210984,Pcmtd1,319263,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,0.114299128,8.663517156,0.687274411,0.505798534,0.814526765,-6.280736714
3,17211000,Rrs1,59014,ribosome biogenesis regulator 1,-0.180230317,5.529351973,-0.542467095,0.598053595,0.856904017,-6.372453166
4,17211131,Prex2,109294,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.021215961,8.788301451,0.130937071,0.898131799,0.970420275,-6.518092282
5,17211174,A830018L16Rik,320492,RIKEN cDNA A830018L16 gene,-1.406244592,5.095808171,-4.225685616,0.00134729,0.050806114,-0.901643893
6,17211258,Rdh10,98711,retinol dehydrogenase 10 (all-trans),-0.125835534,6.238309176,-0.679168917,0.510729994,0.816805,-6.286399617
7,17211286,Ly96,17087,lymphocyte antigen 96,-0.434692993,8.439034414,-1.088058133,0.2992768,0.65902736,-5.927931919
8,17211396,Tmem14a,75712,transmembrane protein 14A,0.013242011,3.49858401,0.046176666,0.963977048,0.98719549,-6.526085594
9,17211405,Gsta3,14859,"glutathione S-transferase, alpha 3",0.048884264,4.867119006,0.13171406,0.897531089,0.970194532,-6.517983695
10,17211700,Imp4,27993,"IMP4, U3 small nucleolar ribonucleoprotein",-0.129599948,8.600903314,-0.969514229,0.352623393,0.704580691,-6.04650026
11,17211713,Ptpn18,19253,"protein tyrosine phosphatase, non-receptor type 18",0.383460268,4.54839031,1.829870054,0.093807953,0.408699084,-4.969355521
12,17211774,Plekhb2,226971,"pleckstrin homology domain containing, family B (evectins) member 2",0.076948379,7.287089161,0.447711149,0.662840307,0.889972595,-6.421358883
13,17211790,Hs6st1,50785,heparan sulfate 6-O-sulfotransferase 1,0.587266739,7.719113748,2.839245472,0.015750382,0.179995463,-3.307961551
14,17211795,Arid5a,214855,AT rich interactive domain 5A (MRF1-like),0.430033985,4.737806887,0.89432544,0.389836159,0.736414311,-6.115723713
15,17211822,Cnnm4,94220,cyclin M4,-0.133966953,4.977638942,-0.58647949,0.569107058,0.847651382,-6.346717659
16,17211832,Cnnm3,94218,cyclin M3,0.221018657,5.676862307,1.455900784,0.172689295,0.529551061,-5.494090221
17,17211850,Cox5b,12859,cytochrome c oxidase subunit 5B,-0.356447537,4.916066635,-1.474010531,0.167838524,0.523517902,-5.470429079
18,17211857,4933424G06Rik,71166,RIKEN cDNA 4933424G06 gene,0.396908264,2.09012023,1.193819744,0.257057175,0.618237543,-5.812930906
19,17211867,Zap70,22637,zeta-chain (TCR) associated protein kinase,0.255121506,2.750157095,1.092025341,0.297602812,0.657805083,-5.923771336
20,17211990,Lipt1,623661,lipoyltransferase 1,-0.240258799,5.844825747,-1.23647145,0.241416709,0.598450935,-5.764221601
21,17212018,Eif5b,226982,eukaryotic translation initiation factor 5B,-0.06124113,6.166888099,-0.410653442,0.689021518,0.898560801,-6.438031832
22,17212087,Npas2,18143,neuronal PAS domain protein 2,0.001497261,4.33277556,0.006886776,0.994625514,0.997662099,-6.527196542
23,17212174,Il1r2,16178,"interleukin 1 receptor, type II",-0.065781378,3.567029578,-0.191239798,0.851737453,0.956714308,-6.507763792
24,17212185,Il1r1,16177,"interleukin 1 receptor, type I",-0.025202772,6.861506183,-0.072375839,0.943570557,0.982490951,-6.524430916
25,17212199,Il1rl2,107527,interleukin 1 receptor-like 2,0.216904233,5.21823996,0.941165872,0.366344255,0.71631892,-6.073158678
26,17212286,Slc9a2,226999,"solute carrier family 9 (sodium/hydrogen exchanger), member 2",0.238232279,1.947639938,0.793145819,0.444060523,0.776361282,-6.201179673
27,17212346,AI597479,98404,expressed sequence AI597479,0.110192903,5.56049861,0.541594741,0.598634964,0.856928512,-6.372944073
28,17212406,Bivm,246229,"basic, immunoglobulin-like variable motif containing",0.78297206,5.52673843,3.542875921,0.004440329,0.089931669,-2.076475134
29,17212442,Gulp1,70676,"GULP, engulfment adaptor PTB domain containing 1",1.124577402,7.005480274,5.342507977,0.000217266,0.021338915,0.899458112
30,17212792,Hibch,227095,3-hydroxyisobutyryl-Coenzyme A hydrolase,-0.005335733,8.83186523,-0.024592126,0.980810081,0.993129504,-6.526899532
